CATEGORIA;SUB-CATEGORIA;CAPACIDAD;CODIGO;REFERENCIA;MEDIDAS;CANTIDAD;CIREL;  PRECIO SIN IVA  ;  PRECIO CON IVA  
MICRO Y BOWL;KRAFT MICROCORRUGADO;;019901GK;DOMICILIO ;18,5cm X 18,5cm X 3,8cm;MILLAR;; $1.226,07 ; $1.459,02 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470198;DOMICILIO;16,5cm X 22cm X 7cm;MILLAR;; $1.226,07 ; $1.459,02 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470204;DOMICILIO;23cm X 23cm X 11cm;MILLAR;; $2.307,91 ; $2.746,41 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470201;DOMICILIO;24cm X 24cm X 10cm;MILLAR;; $2.681,46 ; $3.190,94 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470195;DOMICILIO;30cm X 30cm X 10cm;MILLAR;; $4.160,89 ; $4.951,46 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470441K;BANDEJA;16,3cmX27,5cmX3cm;MILLAR;; $504,85 ; $600,77 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;019901GK;DOMICILIO ;18,5cm X 18,5cm X 3,8cm;CIENTO;; $1.287,38 ; $1.531,98 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470198;DOMICILIO;16,5cm X 22cm X 7cm;CIENTO;; $1.287,38 ; $1.531,98 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470204;DOMICILIO;23cm X 23cm X 11cm;CIENTO;; $2.423,30 ; $2.883,73 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470201;DOMICILIO;24cm X 24cm X 10cm;CIENTO;; $2.815,53 ; $3.350,48 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470195;DOMICILIO;30cm X 30cm X 10cm;CIENTO;; $4.368,93 ; $5.199,03 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470441K;BANDEJA;16,3cmX27,5cmX3cm;CIENTO;; $530,10 ; $630,82 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;019901GK;DOMICILIO ;18,5cm X 18,5cm X 3,8cm;UNIDAD;; $1.344,54 ; $1.600,00 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470198;DOMICILIO;16,5cm X 22cm X 7cm;UNIDAD;; $1.344,54 ; $1.600,00 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470204;DOMICILIO;23cm X 23cm X 11cm;UNIDAD;; $2.478,99 ; $2.950,00 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470201;DOMICILIO;24cm X 24cm X 10cm;UNIDAD;; $2.899,16 ; $3.450,00 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470195;DOMICILIO;30cm X 30cm X 10cm;UNIDAD;; $4.495,80 ; $5.350,00 
MICRO Y BOWL;KRAFT MICROCORRUGADO;;470441K;BANDEJA;16,3cmX27,5cmX3cm;UNIDAD;; $546,00 ; $649,74 
EMPAQUE AL VACIO;BOLSAS DE EMPAQUE AL VACIO;QUESOS;470165G;9cm x 15cm ;9cm x 15cm ;MILLAR;; $76,47 ; $91,00 
EMPAQUE AL VACIO;BOLSAS DE EMPAQUE AL VACIO;QUESOS;470165;9cm x 15cm Con válvula;9cm x 15cm Con válvula;MILLAR;; $370,59 ; $441,00 
EMPAQUE AL VACIO;BOLSAS DE EMPAQUE AL VACIO;QUESOS;470166G;14cm x 16cm ;14cm x 16cm ;MILLAR;; $121,85 ; $145,00 
EMPAQUE AL VACIO;BOLSAS DE EMPAQUE AL VACIO;QUESOS;470166;14cm x 16cm Con válvula;14cm x 16cm Con válvula;MILLAR;; $389,92 ; $464,00 
EMPAQUE AL VACIO;BOLSAS DE EMPAQUE AL VACIO;QUESOS;;15cm x 18cm ;15cm x 18cm ;MILLAR;; $147,06 ; $175,00 
